序号,★古树名木编号,古树群编号,调查样方号,★古树名木类别,★省名称,★省编码,★市名称,★市编码,★县名称,★县编码,★乡镇（街道）,★乡镇（街道）编码,村（居委会）,村（居委会）编码,小地名,★树种-科,★树种-属,★树种-中文名,树种-学名,树种-俗名,★生长场所,★分布特点,★经度,★纬度,★权属,特征代码,★树龄,古树等级,★树龄测定方法,★树高（米）,★胸围（厘米）,★地围（厘米）,★平均冠幅（米）,★东西冠幅（米）,★南北冠幅（米）,海拔（米）,坡向,坡度,坡位,★土壤类型,★土层厚度,★土壤紧密度,★生长势,★生长环境,树体损伤,树体损伤具体描述,潜在损伤原因,潜在损伤原因其他描述,★新增古树名木原因,古树历史资料,★养护责任人类别,★养护责任人,★主管部门,树木奇特状况描述,树种鉴定记载,保护措施,养护复壮现状,照片说明,★照片数量,照片保存位置,死亡时间,死亡原因,处置措施,移植时间,移植原因,原地信息,移植方案,★调查人,★调查日期,审核人,审核日期,名木类别,名木栽植人,名木栽植日期,原挂牌号,档案年度,备注,省古树编号
158,217,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02452367°,48.72928717°,国有,,254.99,3,回归估测,17,248.06,317.14,3,3,3,1370.9,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
159,218,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02235250°,48.73238733°,国有,,266.08,3,回归估测,14,257.48,257.48,3,3,3,1381.8,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
160,224,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02017883°,48.73501400°,国有,,195.86,3,回归估测,16,197.82,273.18,3,3,3,1378.4,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
161,225,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.01930967°,48.73625833°,国有,,251.3,3,回归估测,21,244.92,376.8,4.5,6,3,1374.1,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
162,226,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.01918883°,48.73634783°,国有,,150.59,3,回归估测,20,292.02,314,3.5,3,4,1370.6,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
163,227,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.01887950°,48.73758667°,国有,,221.73,3,回归估测,16,219.8,251.2,5.5,5,6,1417.5,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
164,228,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.01847317°,48.73810550°,国有,,229.12,3,回归估测,16,226.08,257.48,5.6,5.6,5.6,1439.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
165,229,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.01755967°,48.73894950°,国有,,240.21,3,回归估测,17,235.5,270.04,8.25,9,7.5,1433.6,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
166,230,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.01771050°,48.73901783°,国有,,221.73,3,回归估测,15,219.8,257.48,7.25,7.8,6.7,1428.1,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
167,231,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02921267°,48.69565833°,国有,,203.25,3,回归估测,18,204.1,238.64,3.25,3.2,3.3,1362.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
